title,price,location,condition,url
Xiaomi Redmi 5 2gb ram/16 gb hdd,30 lv.,"Stariyat grad, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/xiaomi-redmi-5-2gb-ram-16-gb-hdd-CID632-ID8q8oY.html
Nokia C3-01 3G wi-fi,180 lv.,"gr. Peshtera, Oblast Pazardzhik",novo,https://www.olx.bg/ad/nokia-c3-01-3g-wi-fi-CID632-ID7gQit.html
"Telefonni aparati Panasonic, SAGEM D16T",10 lv.,"Lyulin 1, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/telefonni-aparati-panasonic-sagem-d16t-CID632-ID6ycK3.html
Telefon Nokia 3310 3G,55 lv.,"gr. Velingrad, Oblast Pazardzhik",novo,https://www.olx.bg/ad/telefon-nokia-3310-3g-CID632-ID8q8h5.html
Nokia X2,160 lv.,"gr. Peshtera, Oblast Pazardzhik",novo,https://www.olx.bg/ad/nokia-x2-CID632-ID6RYGd.html
NOV! Samsung Galaxy Z Fold 2 256GB Mystic Black / Bronze 2g. Garantsiya!,2399 lv.,"Musagenitsa, gr. Sofiya, Oblast Sofiya-grad",novo,https://www.olx.bg/ad/nov-samsung-galaxy-z-fold-2-256gb-mystic-black-bronze-2g-garantsiya-CID632-ID8l7q9.html
Sony Xperia Z5 Premium,250 lv.,"Zdravets, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/sony-xperia-z5-premium-CID632-ID8oxtr.html
Zaryadni za telefon Soni,5 lv.,"Druzhba 1, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/zaryadni-za-telefon-soni-CID632-ID84ESF.html
Motorola Moto G4 Plus,130 lv.,"Studentski grad, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/motorola-moto-g4-plus-CID632-ID8mqNj.html
Asus Zenfone Max ZC550KL,110 lv.,"Knyazhevo, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/asus-zenfone-max-zc550kl-CID632-ID8mLh0.html
Smartfon Motorola E6 play,110 lv.,"gr. Oryahovo, Oblast Vratsa",izpolzvano,https://www.olx.bg/ad/smartfon-motorola-e6-play-CID632-ID8q8io.html
Nokia 3310,55 lv.,"Tsentar, gr. Pernik, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/nokia-3310-CID632-ID8q8j9.html
Prodavam Samsung S9+,400 lv.,"NPZ Dianabad, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/prodavam-samsung-s9-CID632-ID8q8k7.html
Samsung Galaxy S20 Ultra,1099 lv.,"Opalchenski, gr. Stara Zagora, Oblast Stara Zagora",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s20-ultra-CID632-ID8q8lt.html
Samsung GT-E2550,45 lv.,"Tsentar, gr. Pernik, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/samsung-gt-e2550-CID632-ID8q8lG.html
Nokia 201,20 lv.,"gr. Debelets, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/nokia-201-CID632-ID7HMbR.html
Palen komplekt SAMSUNG A20e + podarak 2 kalafa,130 lv.,"gr. Nesebar, Oblast Burgas",izpolzvano,https://www.olx.bg/ad/palen-komplekt-samsung-a20e-podarak-2-kalafa-CID632-ID8q8np.html
