condition,location,price,title,url
novo,"Kaptazha, gr. Smolyan, Oblast Smolyan",50.0,Displey za xiaomi redmi note 4 cheren s ramka,https://www.olx.bg/ad/displey-za-xiaomi-redmi-note-4-cheren-s-ramka-CID632-ID8d2ow.html
izpolzvano,"Druzhba 1, gr. Sofiya, Oblast Sofiya-grad",15.0,Zaden kapak za Lenovo s658t,https://www.olx.bg/ad/zaden-kapak-za-lenovo-s658t-CID632-ID6YdLn.html
izpolzvano,"Kolyu Ficheto, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",749.0,Kato nov•iphone X silver 64 /100% bateriya ayfon H 10,https://www.olx.bg/ad/kato-noviphone-x-silver-64-100-bateriya-ayfon-h-10-CID632-ID8r7pa.html
izpolzvano,"Lagera, gr. Sofiya, Oblast Sofiya-grad",120.0,SONY Xperia Z 1 Compact,https://www.olx.bg/ad/sony-xperia-z-1-compact-CID632-ID8aaJD.html
izpolzvano,"Vazrazhdane 1, gr. Varna, Oblast Varna",75.0,Telefon Lenovo A 536,https://www.olx.bg/ad/telefon-lenovo-a-536-CID632-ID8sjmZ.html
izpolzvano,"Vartashevo, gr. Kyustendil, Oblast Kyustendil",65.0,HTC-620,https://www.olx.bg/ad/htc-620-CID632-ID7HlOG.html
izpolzvano,"Ovcha kupel 1, gr. Sofiya, Oblast Sofiya-grad",70.0,Nokia 5  dobro sastoyanie,https://www.olx.bg/ad/nokia-5-dobro-sastoyanie-CID632-ID8sjof.html
novo,"Lyulin - tsentar, gr. Sofiya, Oblast Sofiya-grad",230.0,A21S Samsung Galaxy  Nov,https://www.olx.bg/ad/a21s-samsung-galaxy-nov-CID632-ID8s5zW.html
izpolzvano,"s. Ovcha mogila, Oblast Veliko Tarnovo",1400.0,Iphone 11 pro 64GB Midnight green,https://www.olx.bg/ad/iphone-11-pro-64gb-midnight-green-CID632-ID8sjpc.html
novo,"gr. Gorna Oryahovitsa, Oblast Veliko Tarnovo",589.0,Iphone X Kato Chisto Nov !,https://www.olx.bg/ad/iphone-x-kato-chisto-nov-CID632-ID8sjpk.html
izpolzvano,"Zapaden park, gr. Sofiya, Oblast Sofiya-grad",160.0,Iphone 6s/16gb - perfekten,https://www.olx.bg/ad/iphone-6s-16gb-perfekten-CID632-ID8sjpj.html
novo,"Suhata reka, gr. Sofiya, Oblast Sofiya-grad",430.0,"Huawei P40 Lite, Dual SIM, 128GB, 6GB RAM, 5G",https://www.olx.bg/ad/huawei-p40-lite-dual-sim-128gb-6gb-ram-5g-CID632-ID8sjpn.html
izpolzvano,"Zheravi, gr. Montana, Oblast Montana",700.0,HUAWEI P30 PRO - 128GB/8GB. Kato nov!,https://www.olx.bg/ad/huawei-p30-pro-128gb-8gb-kato-nov-CID632-ID8s1Z6.html
izpolzvano,"Lyulin - tsentar, gr. Sofiya, Oblast Sofiya-grad",170.0,A20e Kato Nov Samsung Galaxy,https://www.olx.bg/ad/a20e-kato-nov-samsung-galaxy-CID632-ID8sjpw.html
